date,close,市盈率,市盈率估值,市净率,市净率估值
2015-01-27,24811.471,9.71,偏高,1.34,高估
2015-01-28,24861.811,9.71,偏高,1.34,高估
2015-01-29,24579.19,9.6,正常,1.33,高估
2015-01-30,24507.049,9.56,正常,1.32,高估
2015-02-02,24484.738,9.53,正常,1.32,高估
2015-02-03,24545.119,9.6,正常,1.33,高估
2015-02-04,24679.76,9.67,正常,1.34,高估
2015-02-05,24765.49,9.71,偏高,1.34,高估
2015-02-06,24679.391,9.65,正常,1.34,高估
2015-02-09,24510.49,9.59,正常,1.33,高估
2015-02-10,24528.1,9.6,正常,1.33,高估
2015-02-11,24315.022,9.53,正常,1.32,高估
2015-02-12,24422.15,9.61,正常,1.33,高估
2015-02-13,24682.541,9.72,偏高,1.34,高估
2015-02-16,24726.529,9.74,偏高,1.35,高估
